id,abstract,category
33184,"We consider a generalized processing system having several queues, where the available service rate combinations are fluctuating over time due to reliability and availability variations. The objective is to allocate the available resources, and corresponding service rates, in response to both workload and service capacity considerations, in order to maintain the long term stability of the system. The service configurations are completely arbitrary, including negative service rates which represent forwarding and service-induced cross traffic. We employ a trace-based trajectory asymptotic technique, which requires minimal assumptions about the arrival dynamics of the system.   We prove that cone schedules, which leverage the geometry of the queueing dynamics, maximize the system throughput for a broad class of processing systems, even under adversarial arrival processes. We study the impact of fluctuating service availability, where resources are available only some of the time, and the schedule must dynamically respond to the changing available service rates, establishing both the capacity of such systems and the class of schedules which will stabilize the system at full capacity. The rich geometry of the system dynamics leads to important insights for stability, performance and scalability, and substantially generalizes previous findings.   The processing system studied here models a broad variety of computer, communication and service networks, including varying channel conditions and cross-traffic in wireless networking, and call centers with fluctuating capacity. The findings have implications for bandwidth and processor allocation in communication networks and workforce scheduling in congested call centers.",cs
58532,"A simple unbreakable cipher system is presented which uses the concept of ""pseudo-bits"" that has never been used in either classical or quantum cryptography.",physics
79697,"Which systems are ideal to obtain negative refraction with no absorption? Electromagnetically induced transparency (EIT) is a method to suppress absorption and make a material transparent to a field of a given frequency. Such a system has been discussed in [1]; however the main limitations for negative refraction introduced are the necessity of resonant electric and magnetic dipole transitions, and the necessity of very dense media. We suggest using frequency translators in a composite system that would provide negative refraction for a range of optical frequencies while attempting to overcome the limitations discussed above. In the process of using frequency translators, we also find composite systems that can be used for refractive index enhancement.",physics
40298,"Production operation of large distributed computing infrastructures (DCI) still requires a lot of human intervention to reach acceptable quality of service. This may be achievable for scientific communities with solid IT support, but it remains a show-stopper for others. Some application execution environments are used to hide runtime technical issues from end users. But they mostly aim at fault-tolerance rather than incident resolution, and their operation still requires substantial manpower. A longer-term support activity is thus needed to ensure sustained quality of service for Virtual Organisations (VO). This paper describes how the biomed VO has addressed this challenge by setting up a technical support team. Its organisation, tooling, daily tasks, and procedures are described. Results are shown in terms of resource usage by end users, amount of reported incidents, and developed software tools. Based on our experience, we suggest ways to measure the impact of the technical support, perspectives to decrease its human cost and make it more community-specific.",cs
5779,"We proposed an algorithm for solving Hamilton-Jacobi equation associated to an optimal trajectory problem for a vehicle moving inside the pre-specified domain with the speed depending upon the direction of the motion and current position of the vehicle. The dynamics of the vehicle is defined by an ordinary differential equation, the right hand of which is given by product of control(a time dependent fuction) and a function dependent on trajectory and control. At some unspecified terminal time, the vehicle reaches the boundary of the pre-specified domain and incurs a terminal cost. We also associate the traveling cost with a type of integral to the trajectory followed by vehicle. We are interested in a numerical method for finding a trajectory that minimizes the sum of the traveling cost and terminal cost. We developed an algorithm solving the value function for general trajectory optimization problem. Our algorithm is closely related to the Tsitsiklis's Fast Marching Method and J. A. Sethian's OUM and SLF-LLL[1-4] and is a generalization of them. On the basis of these results, We applied our algorithm to the image processing such as fingerprint verification.",cs
44976,"The interactive game theoretical approach to tactics and behavioral self-organization is developed. Though it uses the interactive game theoretical formalization of dialogues as psycholinguistic phenomena, the crucial role is played by the essentially new concept of a tactical game. Applications to the perception processes and related subjects (memory, recollection, image understanding, imagination) are discussed together with relations to the computer vision and pattern recognition (the dynamical formation of patterns and perception models during perception as a result of its self-organization) and computer games (modelling of the tactical behavior and self-organization, tactical RPG and elaboration of new tactical game techniques). The appendix is devoted to the operative computer games and the user programming of operative units in a multi-user online operative computer game.",math
2683,"We like to build Abelian groups (or $R$-modules) which on the one hand are quite free, say $\aleph_{\omega + 1}$-free, and on the other hand, are complicated in suitable sense. We choose as our test problem having no non-trivial homomorphism to $Z$ (known classically for $\aleph_1$-free, recently for $\aleph_n-$free). We succeed to prove the existence of even $\aleph_{\omega_1 \cdot n}$-free ones. We also know other constructions of complicated Abelian groups and modules which are quite free but this is delayed. This requires building $n$-dimensional black goxes, which are quite free. Thus combinatorics is of self interest and we believe will be useful also for other purposes",math
35216,"All Control Systems that grow to any size have a variety of data that are stored in different formats on different nodes in the network. Examples include sensor value and status, archived sensor data, device oriented support data and relationships, message logs, application and machine configurations etc. Each type of data typically has a different programming interface. Higher-level applications need to access a logically related set of data that is in different data stores and may require different processing. AIDA is envisioned to be a distributed service that allows applications access to this wide variety of Control System data in a consistent way that is language and machine independent. It has the additional goal of providing an object-oriented layer for constructing applications on top of multiple existing conventional systems like EPICS or the SLC Control System. Motivation, design overview and current status will be presented.",physics
13436,"We show that the output mode of a single-mode optical fiber can be directly focused to a sub-wavelength waist with a finite working distance by tapering the fiber to a diameter of the order of the wavelength and terminating it with a spherically/hemispherically shaped tip. Numerical simulations show that a beam waist with a width of as small as 0.62\lambda can be formed. We fabricate micro-lensed fibers and construct a probe-scanning confocal reflection microscope. Measurements on gold nano-particles show a spatial profile with a width of 0.29\lambda for \lambda = 850 nm, which is in good agreement with the numerical simulations. Due to their monolithic structures, these micro-lensed fibers will be flexible substitutes for conventional compound lenses in various experimental conditions such as cryogenic temperature and ultra-high vacuum.",physics
34164,"Many distributed systems can be modeled as network games: a collection of selfish players that communicate in order to maximize their individual utilities. The performance of such games can be evaluated through the costs of the system equilibria: the system states in which no player can increase her utility by unilaterally changing her behavior. However, assuming that all players are selfish and in particular that all players have the same utility function may not always be appropriate. Hence, several extensions to incorporate also altruistic and malicious behavior in addition to selfishness have been proposed over the last years. In this paper, we seek to go one step further and study arbitrary relationships between participants. In particular, we introduce the notion of the social range matrix and explore the effects of the social range matrix on the equilibria in a network game. In order to derive concrete results, we propose a simplistic network creation game that captures the effect of social relationships among players.",cs
80276,"There are no limits for the speeds of light and particles in general relativity (GR). Four examples illustrate this basic result, which is too often neglected.",physics
35782,"Due to the lack of budget, competence, personnel and time, small museums are often unable to develop compelling, educational and accessible web resources for their permanent collections or temporary exhibitions. In an attempt to prove that investing in these types of resources can be very fruitful even for small institutions, we will illustrate the case of Accademia Carrara, a museum in Bergamo, northern Italy, which, for a current temporary exhibition on Cezanne and Renoir's masterpieces from the Paul Guillaume collection, developed a series of multimedia applications, including an accessible website, rich in content and educational material [www.cezannerenoir.it].",cs
77493,"We report measurements of the isotope shifts of the $3d^64s^2 a ^5D_4 - 3d^64s4p z ^5F_5^o$ Fe I resonance line at 372 nm between all four stable isotopes $^{54}$Fe, $^{56}$Fe, $^{57}$Fe, and $^{58}$Fe, as well as the complete hyperfine structure of that line for $^{57}$Fe, the only stable isotope having a non-zero nuclear spin. The field and specific mass shift coefficients of the transition have been derived from the data, as well as the experimental value for the hyperfine structure magnetic dipole coupling constant $A$ of the excited state of the transition in $^{57}$Fe: $A(3d^64s4p z ^5F_5^o) = 81.69(86)$ MHz. The measurements were done by means of Doppler-free laser saturated-absorption spectroscopy in a Fe-Ar hollow cathode using both natural and enriched iron samples. The measured isotope shifts and hyperfine constants are reported with uncertainties at the percent level.",physics
19130,"In this paper we revisit stencil methods on GPUs in the context of exponential integrators. We further discuss boundary conditions, in the same context, and show that simple boundary conditions (for example, homogeneous Dirichlet or homogeneous Neumann boundary conditions) do not affect the performance if implemented directly into the CUDA kernel. In addition, we show that stencil methods with position-dependent coefficients can be implemented efficiently as well.   As an application, we discuss the implementation of exponential integrators for different classes of problems in a single and multi GPU setup (up to 4 GPUs). We further show that for stencil based methods such parallelization can be done very efficiently, while for some unstructured matrices the parallelization to multiple GPUs is severely limited by the throughput of the PCIe bus.",cs
5270,"According to this principle, the relativistic changes occurring to the bodies, after velocity changes, cannot be detected by observers moving with them because bodies and stationary radiations change in identical proportion after identical circumstances, i.e, because bodies and stationary radiations have identical relativistic laws with respect to any fixed observer. Effectively the theoretical properties of particle models made up of stationary radiations agree with special relativity, quantum mechanics and the gravitational (G) tests. They fix lineal properties for all of them: the G fields, the black holes (BHs) and the universe. The BHs, after absorbing radiation, must return to the gas state. An eventual universe expansion cannot change any relative distance because the G expansion of matter occurs in identical proportion. This fixes a new kind of universe. In it matter evolves in closed cycles, between gas and BH states and vice versa, indefinitely. Galaxies and clusters must evolve rather cyclically between luminous and black states. Most of the G potential energy of a matter cycle must be released around neutron star and black hole boundaries. Nuclear stripping reactions would transform G energy into nuclear and kinetic energies. This accounts for many non well explained phenomena in astrophysics. This work has been published, in more detail, in a book.",physics
45070,"We consider multiple-antenna signal detection of primary user transmission signals by a secondary user receiver in cognitive radio networks. The optimal detector is analyzed for the scenario where the number of primary user signals is no less than the number of receive antennas at the secondary user. We first derive exact expressions for the moments of the generalized likelihood ratio test (GLRT) statistic, yielding approximations for the false alarm and detection probabilities. We then show that the normalized GLRT statistic converges in distribution to a Gaussian random variable when the number of antennas and observations grow large at the same rate. Further, using results from large random matrix theory, we derive expressions to compute the detection probability without explicit knowledge of the channel, and then particularize these expressions for two scenarios of practical interest: 1) a single primary user sending spatially multiplexed signals, and 2) multiple spatially distributed primary users. Our analytical results are finally used to obtain simple design rules for the signal detection threshold.",stat
25076,"Symmetry breaking phase transitions play an important role in nature. When a system traverses such a transition at a finite rate, its causally disconnected regions choose the new broken symmetry state independently. Where such local choices are incompatible, defects will form with densities predicted to follow a power law scaling in the rate of the transition. The importance of this Kibble-Zurek mechanism (KZM) ranges from cosmology to condensed matter [1-4]. In previous tests in homogeneous systems, defect formation was seen, but weak dependence on the transition rate and limited control of external parameters so far prevented tests of KZM scaling. As recently predicted [5-9], in inhomogeneous systems propagation of the critical front enhances the role of causality and steepens scaling of defect density with the transition rate. We use ion Coulomb crystals in a harmonic trap to demonstrate, for the first time, scaling of the number of topological defects with the transition rate - the central prediction of KZM - in a well-controlled environment.",physics
21036,"Numerical continuation methods for deterministic dynamical systems have been one of the most successful tools in applied dynamical systems theory. Continuation techniques have been employed in all branches of the natural sciences as well as in engineering to analyze ordinary, partial and delay differential equations. Here we show that the deterministic continuation algorithm for equilibrium points can be extended to track information about metastable equilibrium points of stochastic differential equations (SDEs). We stress that we do not develop a new technical tool but that we combine results and methods from probability theory, dynamical systems, numerical analysis, optimization and control theory into an algorithm that augments classical equilibrium continuation methods. In particular, we use ellipsoids defining regions of high concentration of sample paths. It is shown that these ellipsoids and the distances between them can be efficiently calculated using iterative methods that take advantage of the numerical continuation framework. We apply our method to a bistable neural competition model and a classical predator-prey system. Furthermore, we show how global assumptions on the flow can be incorporated - if they are available - by relating numerical continuation, Kramers' formula and Rayleigh iteration.",math
79683,"The success of a number of projects has been shown to be significantly improved by the use of a formalism. However, there remains an open issue: to what extent can a development process based on a singular formal notation and method succeed. The majority of approaches demonstrate a low level of flexibility by attempting to use a single notation to express all of the different aspects encountered in software development. Often, these approaches leave a number of scalability issues open. We prefer a more eclectic approach. In our experience, the use of a formalism-based toolkit with adequate notations for each development phase is a viable solution. Following this principle, any specific notation is used only where and when it is really suitable and not necessarily over the entire software lifecycle. The approach explored in this article is perhaps slowly emerging in practice - we hope to accelerate its adoption. However, the major challenge is still finding the best way to instantiate it for each specific application scenario. In this work, we describe a development process and method for automotive applications which consists of five phases. The process recognizes the need for having adequate (and tailored) notations (Problem Frames, Requirements State Machine Language, and Event-B) for each development phase as well as direct traceability between the documents produced during each phase. This allows for a stepwise verification/validation of the system under development. The ideas for the formal development method have evolved over two significant case studies carried out in the DEPLOY project.",cs
61726,"Citation distributions are crucial for the analysis and modeling of the activity of scientists. We investigated bibliometric data of papers published in journals of the American Physical Society, searching for the type of function which best describes the observed citation distributions. We used the goodness of fit with Kolmogorov-Smirnov statistics for three classes of functions: log-normal, simple power law and shifted power law. The shifted power law turns out to be the most reliable hypothesis for all citation networks we derived, which correspond to different time spans. We find that citation dynamics is characterized by bursts, usually occurring within a few years since publication of a paper, and the burst size spans several orders of magnitude. We also investigated the microscopic mechanisms for the evolution of citation networks, by proposing a linear preferential attachment with time dependent initial attractiveness. The model successfully reproduces the empirical citation distributions and accounts for the presence of citation bursts as well.",cs
60896,"Solving a quadratic equation $P(x)=ax^2+bx+c=0$ with real coefficients is known to middle school students. Solving the equation over the quaternions is not straightforward. Huang and So \cite{Huang} give a complete set of formulas, breaking it into several cases depending on the coefficients. From a result of the second author in \cite{kalQ}, zeros of $P(x)$ can be expressed in terms of the zeros of a real quartic equation. This drastically simplifies solving a quadratic equation. Here we also consider solving $P(x)=0$ iteratively via Newton and Halley methods developed in \cite{kalQ}. We prove a property of the Jacobian of Newton and Halley methods and describe several 2D polynomiography based on these methods. The images not only encode the outcome of the iterative process, but by measuring the time taken to render them we find the relative speed of convergence for the methods.",cs
39277,"Box consistency has been observed to yield exponentially better performance than chaotic constraint propagation in the interval constraint system obtained by decomposing the original expression into primitive constraints. The claim was made that the improvement is due to avoiding decomposition. In this paper we argue that the improvement is due to replacing chaotic iteration by a more structured alternative.   To this end we distinguish the existing notion of box consistency from relational box consistency. We show that from a computational point of view it is important to maintain the functional structure in constraint systems that are associated with a system of equations. So far, it has only been considered computationally important that constraint propagation be fair. With the additional structure of functional constraint systems, one can define and implement computationally effective, structured, truncated constraint propagations. The existing algorithm for box consistency is one such. Our results suggest that there are others worth investigating.",cs
23743,"A high-fidelity kinetic Monte Carlo (KMC) simulation method (T. Treeratanaphitak, M. Pritzker, N. M. Abukhdeir, Electrochim. Acta 121 (2014) 407--414) using the semi-empirical multi-body embedded-atom method (EAM) potential has been extended to model polycrystalline metal electrodeposition. Simulations using KMC-EAM are performed over a range of overpotentials to predict the effect on deposit texture evolution. Roughness-time power law behaviour ($\propto t^\beta$) is observed where $\beta=0.62 \pm 0.12$, which is in good agreement with past experimental results. Furthermore, the simulations provide insights into the dynamics of sub-surface deposit morphology which are not directly accessible from experimental measurements.",physics
67021,"Given two metrics of positive scalar curvature metrics on a closed spin manifold, there is a secondary index invariant in real $K$-theory. There exist two definitions of this invariant, one of homotopical flavour, the other one defined by a index problem of Atiyah-Patodi-Singer type. We give a complete and detailed proof of the folklore result that both constructions yield the same answer. Moreover, we generalize this to the case of two families of positive scalar curvature metrics, parametrized by a compact space. In essence, we prove a generalization of the classical ""spectral-flow-index theorem"" to the case of families of real operators.",math
63759,"We consider the problems of clustering, classification, and visualization of high-dimensional data when no straightforward Euclidean representation exists. Typically, these tasks are performed by first reducing the high-dimensional data to some lower dimensional Euclidean space, as many manifold learning methods have been developed for this task. In many practical problems however, the assumption of a Euclidean manifold cannot be justified. In these cases, a more appropriate assumption would be that the data lies on a statistical manifold, or a manifold of probability density functions (PDFs). In this paper we propose using the properties of information geometry in order to define similarities between data sets using the Fisher information metric. We will show this metric can be approximated using entirely non-parametric methods, as the parameterization of the manifold is generally unknown. Furthermore, by using multi-dimensional scaling methods, we are able to embed the corresponding PDFs into a low-dimensional Euclidean space. This not only allows for classification of the data, but also visualization of the manifold. As a whole, we refer to our framework as Fisher Information Non-parametric Embedding (FINE), and illustrate its uses on a variety of practical problems, including bio-medical applications and document classification.",stat
68265,"We report the stopping of a molecular oxygen beam, using a series of pulsed electromagnetic coils. A series of coils is fired in a timed sequence to bring the molecules to near-rest, where they are detected with a quadrupole mass spectrometer. Applications to cold chemistry are discussed.",physics
13178,"This paper deals with the comparison of several stationary processes with unequal sample sizes. We provide a detailed theoretical framework on the testing problem for equality of spectral densities in the bivariate case, after which the generalization of our approach to the m dimensional case and to other statistical applications (like testing for zero correlation or clustering of time series data with different length) is straightforward. We prove asymptotic normality of an appropriately standardized version of the test statistic both under the null and the alternative and investigate the finite sample properties of our method in a simulation study. Furthermore we apply our approach to cluster financial time series data with different sample length.",stat
38688,"We consider a repeated Matching Pennies game in which players have limited access to randomness. Playing the (unique) Nash equilibrium in this n-stage game requires n random bits. Can there be Nash equilibria that use less than n random coins?   Our main results are as follows: We give a full characterization of approximate equilibria, showing that, for any e in [0, 1], the game has a e-Nash equilibrium if and only if both players have (1 - e)n random coins. When players are bound to run in polynomial time, Nash equilibria can exist if and only if one-way functions exist. It is possible to trade-off randomness for running time. In particular, under reasonable assumptions, if we give one player only O(log n) random coins but allow him to run in arbitrary polynomial time and we restrict his opponent to run in time n^k, for some fixed k, then we can sustain an Nash equilibrium. When the game is played for an infinite amount of rounds with time discounted utilities, under reasonable assumptions, we can reduce the amount of randomness required to achieve a e-Nash equilibrium to n, where n is the number of random coins necessary to achieve an approximate Nash equilibrium in the general case.",cs
79552,"Adapting video data rate during streaming can effectively reduce the risk of playback interruptions caused by channel throughput fluctuations. The variations in rate, however, also introduce video quality fluctuations and thus potentially affects viewers' Quality of Experience (QoE). We show how the QoE of video users can be improved by rate adaptation and admission control. We conducted a subjective study wherein we found that viewers' QoE was strongly correlated with the empirical cumulative distribution function (eCDF) of the predicted video quality. Based on this observation, we propose a rate-adaptation algorithm that can incorporate QoE constraints on the empirical cumulative quality distribution per user. We then propose a threshold-based admission control policy to block users whose empirical cumulative quality distribution is not likely to satisfy their QoE constraint. We further devise an online adaptation algorithm to automatically optimize the threshold. Extensive simulation results show that the proposed scheme can reduce network resource consumption by $40\%$ over conventional average-quality maximized rate-adaptation algorithms.",cs
37847,"Measuring the intellectual diversity encoded in publication records as a proxy to the degree of interdisciplinarity has recently received considerable attention in the science mapping community. The present paper draws upon the use of the Stirling index as a diversity measure applied to a network model (customized science map) of research profiles, proposed by several authors. A modified version of the index is used and compared with the previous versions on a sample data set in order to rank top Hungarian research organizations (HROs) according to their research performance diversity. Results, unexpected in several respects, show that the modified index is a candidate for measuring the degree of polarization of a research profile. The study also points towards a possible typology of publication portfolios that instantiate different types of diversity.",stat
81870,"Means to coherently control single x-ray photons in resonant scattering of light off nuclei by electric or magnetic fields are investigated theoretically. In order to derive the time response in nuclear forward scattering, we adapt the Maxwell-Bloch equations known from quantum optics to describe the resonant light pulse propagation through a nuclear medium. Two types of time-dependent perturbations of nuclear forward scattering are considered for coherent control of the resonantly scattered x-ray quanta. First, the simultaneous coherent propagation of two pulses through the nuclear sample is addressed. We find that the signal of a weak pulse can be enhanced or suppressed by a stronger pulse simultaneously propagating through the sample in counter-propagating geometry. Second, the effect of a time-dependent hyperfine splitting is investigated and we put forward a scheme that allows parts of the spectrum to be shifted forward in time. This is the inverse effect of coherent photon storage and may become a valuable technique if single x-ray photon wavepackets are to become the information carriers in future photonic circuits.",physics
